filename,start_time,end_time,duration_min,distance_km,pace_min_per_km,elevation_gain,avg_speed_ms,max_speed_ms,avg_speed_kmh,activity_type,is_run,num_points,date
route_2020-01-25_4.09pm.gpx,2020-01-25 15:04:49,2020-01-25 15:09:03,4.2,1.11,3.83,3.9,6.56,8.8,23.6,Run,True,252,2020-01-25
route_2020-01-29_1.14pm.gpx,2020-01-29 11:47:07,2020-01-29 12:14:31,27.4,5.11,5.37,40.0,4.8,21.62,17.3,Run,True,1512,2020-01-29
route_2020-02-21_8.28am.gpx,2020-02-21 06:59:25,2020-02-21 07:28:26,29.0,3.99,7.27,22.1,2.8,19.2,10.1,Run,True,1726,2020-02-21
route_2020-03-11_5.11pm.gpx,2020-03-11 15:44:04,2020-03-11 16:11:50,27.8,4.31,6.44,24.0,3.41,8.83,12.3,Run,True,1668,2020-03-11
route_2020-04-03_10.24pm.gpx,2020-04-03 19:53:51,2020-04-03 20:24:50,31.0,3.11,9.97,20.1,1.69,2.28,6.1,Run,True,1861,2020-04-03
route_2020-04-11_10.11pm.gpx,2020-04-11 18:55:15,2020-04-11 20:11:52,76.6,7.97,9.61,60.7,1.81,18.88,6.5,Run,True,4564,2020-04-11
route_2020-04-17_5.09pm.gpx,2020-04-17 14:55:22,2020-04-17 15:09:58,14.6,1.71,8.55,29.5,1.96,3.23,7.0,Run,True,878,2020-04-17
route_2020-04-29_8.48pm.gpx,2020-04-29 18:17:04,2020-04-29 18:48:01,30.9,3.91,7.91,23.1,2.65,12.23,9.5,Run,True,1799,2020-04-29
route_2020-05-30_1.56pm.gpx,2020-05-30 11:12:14,2020-05-30 11:56:06,43.9,4.63,9.47,34.7,2.03,11.28,7.3,Run,True,2634,2020-05-30
route_2020-06-22_7.45pm.gpx,2020-06-22 17:08:03,2020-06-22 17:45:04,37.0,4.13,8.96,33.7,1.98,12.41,7.1,Run,True,2209,2020-06-22
route_2020-09-05_4.23pm.gpx,2020-09-05 13:35:37,2020-09-05 14:23:46,48.1,13.17,3.66,41.1,5.84,7.25,21.0,Run,True,2476,2020-09-05
route_2020-09-05_6.11pm.gpx,2020-09-05 15:21:42,2020-09-05 16:11:12,49.5,15.22,3.25,61.4,5.41,7.58,19.5,Run,True,2972,2020-09-05
route_2020-10-25_1.35pm.gpx,2020-10-25 12:26:25,2020-10-25 12:35:21,8.9,1.28,7.01,22.9,2.39,3.5,8.6,Run,True,537,2020-10-25
route_2020-12-12_4.38pm.gpx,2020-12-12 14:38:27,2020-12-12 15:38:42,60.2,10.35,5.82,89.1,2.87,4.25,10.3,Run,True,3618,2020-12-12
route_2021-04-06_11.21am.gpx,2021-04-06 09:08:03,2021-04-06 09:21:43,13.7,4.17,3.28,280.9,5.6,7.89,20.2,Run,True,821,2021-04-06
route_2021-04-06_12.46pm.gpx,2021-04-06 10:35:25,2021-04-06 10:46:30,11.1,3.6,3.08,200.2,6.13,7.57,22.1,Run,True,667,2021-04-06
route_2021-04-09_12.42pm.gpx,2021-04-09 10:32:00,2021-04-09 10:42:27,10.4,3.75,2.79,89.9,6.52,7.87,23.5,Run,True,629,2021-04-09
route_2021-04-09_2.22pm.gpx,2021-04-09 12:05:38,2021-04-09 12:22:26,16.8,4.0,4.2,152.0,6.19,7.39,22.3,Run,True,898,2021-04-09
route_2021-04-16_12.37pm.gpx,2021-04-16 10:24:24,2021-04-16 10:37:46,13.4,3.93,3.4,139.6,5.95,7.9,21.4,Run,True,779,2021-04-16
route_2021-04-16_9.17am.gpx,2021-04-16 07:01:21,2021-04-16 07:17:34,16.2,4.01,4.05,192.5,5.94,7.73,21.4,Run,True,974,2021-04-16
route_2021-06-05_8.13am.gpx,2021-06-05 05:47:33,2021-06-05 06:13:43,26.2,2.73,9.58,40.7,1.98,3.41,7.1,Run,True,1572,2021-06-05
route_2021-06-07_10.48am.gpx,2021-06-07 08:34:54,2021-06-07 08:48:34,13.7,4.07,3.36,219.3,5.92,7.95,21.3,Run,True,821,2021-06-07
route_2021-06-07_12.26pm.gpx,2021-06-07 10:15:02,2021-06-07 10:26:06,11.1,3.77,2.94,103.2,6.35,8.44,22.9,Run,True,661,2021-06-07
route_2021-06-15_1.53pm.gpx,2021-06-15 11:44:05,2021-06-15 11:53:31,9.4,2.82,3.35,105.6,6.0,7.41,21.6,Run,True,566,2021-06-15
route_2021-06-16_2.28pm.gpx,2021-06-16 12:15:15,2021-06-16 12:28:16,13.0,3.89,3.35,164.0,5.81,7.89,20.9,Run,True,782,2021-06-16
route_2022-10-09_5.40pm.gpx,2022-10-09 14:45:15,2022-10-09 15:40:20,55.1,6.75,8.16,32.7,2.3,17.36,8.3,Run,True,3204,2022-10-09
route_2023-09-04_4.13pm.gpx,2023-09-04 13:00:58,2023-09-04 14:13:10,72.2,7.8,9.26,59.4,3.51,6.49,12.6,Run,True,4250,2023-09-04
route_2023-09-05_3.50pm.gpx,2023-09-05 11:01:51,2023-09-05 13:50:36,168.8,17.33,9.74,79.3,2.82,5.85,10.2,Run,True,8338,2023-09-05
