start_time,km,split_time_sec,split_pace_min,avg_speed_ms,date
2019-12-31 13:46:29,1,2126.0,35.43,0.53,2019-12-31
2019-12-31 13:46:29,2,1679.0,27.98,0.85,2019-12-31
2020-01-03 12:35:44,1,643.0,10.72,1.56,2020-01-03
2020-01-09 12:58:14,1,1022.0,17.03,0.98,2020-01-09
2020-01-13 15:05:00,1,718.0,11.97,1.39,2020-01-13
2020-01-13 15:05:00,2,738.0,12.3,1.36,2020-01-13
2020-01-13 16:11:34,1,744.0,12.4,1.34,2020-01-13
2020-01-19 19:33:46,1,675.0,11.25,1.49,2020-01-19
2020-01-19 19:33:46,2,634.0,10.57,1.58,2020-01-19
2020-01-19 19:33:46,3,606.0,10.1,1.65,2020-01-19
2020-01-20 09:32:25,1,1600.0,26.67,1.24,2020-01-20
2020-01-20 15:05:17,1,693.0,11.55,1.45,2020-01-20
2020-01-21 16:05:03,1,728.0,12.13,1.38,2020-01-21
2020-01-21 16:05:03,2,624.0,10.4,1.6,2020-01-21
2020-01-21 16:05:03,3,655.0,10.92,1.53,2020-01-21
2020-01-22 06:28:41,1,670.0,11.17,1.49,2020-01-22
2020-01-22 06:28:41,2,712.0,11.87,1.4,2020-01-22
2020-01-22 06:28:41,3,664.0,11.07,1.51,2020-01-22
2020-01-23 15:11:37,1,596.0,9.93,1.7,2020-01-23
2020-01-23 15:11:37,2,615.0,10.25,1.63,2020-01-23
2020-01-23 15:11:37,3,617.0,10.28,1.62,2020-01-23
2020-01-23 23:10:57,1,914.0,15.23,1.09,2020-01-23
2020-01-23 23:10:57,2,3898.0,64.97,0.57,2020-01-23
2020-01-25 20:22:37,1,802.0,13.37,1.25,2020-01-25
2020-01-25 20:22:37,2,644.0,10.73,1.56,2020-01-25
2020-01-25 20:22:37,3,638.0,10.63,1.57,2020-01-25
2020-01-25 20:22:37,4,687.0,11.45,1.46,2020-01-25
2020-01-25 20:22:37,5,629.0,10.48,1.59,2020-01-25
2020-01-25 15:04:49,1,140.0,2.33,7.16,2020-01-25
2020-01-26 20:53:39,1,649.0,10.82,1.55,2020-01-26
2020-01-26 16:24:04,1,693.0,11.55,1.45,2020-01-26
2020-01-26 16:24:04,2,765.0,12.75,1.31,2020-01-26
2020-01-26 16:24:04,3,833.0,13.88,1.2,2020-01-26
2020-01-26 16:24:04,4,691.0,11.52,1.45,2020-01-26
2020-01-27 12:32:38,1,968.0,16.13,1.03,2020-01-27
2020-01-27 16:10:26,1,632.0,10.53,1.59,2020-01-27
2020-01-27 16:10:26,2,665.0,11.08,1.5,2020-01-27
2020-01-27 16:10:26,3,652.0,10.87,1.54,2020-01-27
2020-01-27 06:55:07,1,627.0,10.45,1.6,2020-01-27
2020-01-27 06:55:07,2,654.0,10.9,1.53,2020-01-27
2020-01-27 06:55:07,3,616.0,10.27,1.62,2020-01-27
2020-01-28 17:09:31,1,662.0,11.03,1.51,2020-01-28
2020-01-28 17:09:31,2,626.0,10.43,1.6,2020-01-28
2020-01-29 11:47:07,1,588.0,9.8,1.73,2020-01-29
2020-01-29 11:47:07,2,61.0,1.02,16.66,2020-01-29
2020-01-29 11:47:07,3,186.0,3.1,5.46,2020-01-29
2020-01-29 11:47:07,4,75.0,1.25,13.33,2020-01-29
2020-01-29 11:47:07,5,366.0,6.1,3.13,2020-01-29
2020-01-31 16:08:49,1,615.0,10.25,1.63,2020-01-31
2020-01-31 16:08:49,2,655.0,10.92,1.53,2020-01-31
2020-01-31 16:08:49,3,623.0,10.38,1.6,2020-01-31
2020-02-02 21:12:19,1,644.0,10.73,1.56,2020-02-02
2020-02-02 21:12:19,2,641.0,10.68,1.56,2020-02-02
2020-02-03 12:25:24,1,1114.0,18.57,0.9,2020-02-03
2020-02-04 07:02:22,1,660.0,11.0,1.52,2020-02-04
2020-02-06 11:50:03,1,877.0,14.62,1.15,2020-02-06
2020-02-07 11:53:53,1,1275.0,21.25,0.79,2020-02-07
2020-02-08 19:59:48,1,692.0,11.53,1.44,2020-02-08
2020-02-08 19:59:48,2,719.0,11.98,1.39,2020-02-08
2020-02-08 19:59:48,3,724.0,12.07,1.38,2020-02-08
2020-02-10 21:12:22,1,713.0,11.88,1.4,2020-02-10
2020-02-10 16:27:14,1,2813.0,46.88,1.16,2020-02-10
2020-02-10 18:27:53,1,703.0,11.72,1.42,2020-02-10
2020-02-12 22:16:42,1,707.0,11.78,1.42,2020-02-12
2020-02-12 22:16:42,2,739.0,12.32,1.36,2020-02-12
2020-02-13 12:52:14,1,837.0,13.95,1.23,2020-02-13
2020-02-13 12:52:14,2,665.0,11.08,1.51,2020-02-13
2020-02-14 22:35:07,1,748.0,12.47,1.34,2020-02-14
2020-02-14 19:07:59,1,796.0,13.27,1.26,2020-02-14
2020-02-16 17:37:21,1,628.0,10.47,1.6,2020-02-16
2020-02-16 17:37:21,2,668.0,11.13,1.5,2020-02-16
2020-02-16 17:37:21,3,667.0,11.12,1.5,2020-02-16
2020-02-16 17:37:21,4,664.0,11.07,1.51,2020-02-16
2020-02-16 17:37:21,5,634.0,10.57,1.58,2020-02-16
2020-02-17 11:49:08,1,1227.0,20.45,0.82,2020-02-17
2020-02-17 22:28:12,1,693.0,11.55,1.44,2020-02-17
2020-02-17 19:44:08,1,618.0,10.3,1.62,2020-02-17
2020-02-17 19:44:08,2,571.0,9.52,1.76,2020-02-17
2020-02-18 12:03:13,1,1163.0,19.38,0.89,2020-02-18
2020-02-18 21:05:41,1,668.0,11.13,1.5,2020-02-18
2020-02-19 21:32:07,1,755.0,12.58,1.33,2020-02-19
2020-02-21 06:59:25,1,660.0,11.0,1.54,2020-02-21
2020-02-21 06:59:25,2,637.0,10.62,1.6,2020-02-21
2020-02-21 06:59:25,3,94.0,1.57,10.74,2020-02-21
2020-02-22 13:13:22,1,716.0,11.93,1.4,2020-02-22
2020-02-22 13:13:22,2,680.0,11.33,1.47,2020-02-22
2020-02-22 13:13:22,3,2561.0,42.68,1.49,2020-02-22
2020-02-22 13:13:22,4,661.0,11.02,1.52,2020-02-22
2020-02-25 11:54:54,1,1151.0,19.18,0.87,2020-02-25
2020-02-28 20:44:06,1,699.0,11.65,1.43,2020-02-28
2020-02-29 20:33:04,1,777.0,12.95,1.29,2020-02-29
2020-02-29 17:36:48,1,766.0,12.77,1.31,2020-02-29
2020-03-01 20:39:33,1,679.0,11.32,1.48,2020-03-01
2020-03-01 20:39:33,2,640.0,10.67,1.56,2020-03-01
2020-03-01 20:39:33,3,626.0,10.43,1.6,2020-03-01
2020-03-01 20:39:33,4,703.0,11.72,1.43,2020-03-01
2020-03-01 20:39:33,5,653.0,10.88,1.53,2020-03-01
2020-03-02 20:20:16,1,710.0,11.83,1.41,2020-03-02
2020-03-02 20:20:16,2,703.0,11.72,1.42,2020-03-02
2020-03-03 07:17:03,1,616.0,10.27,1.62,2020-03-03
2020-03-03 07:17:03,2,626.0,10.43,1.6,2020-03-03
2020-03-03 07:17:03,3,613.0,10.22,1.63,2020-03-03
2020-03-04 12:47:47,1,694.0,11.57,1.44,2020-03-04
2020-03-04 12:47:47,2,699.0,11.65,1.43,2020-03-04
2020-03-04 15:45:54,1,707.0,11.78,1.42,2020-03-04
2020-03-04 15:45:54,2,631.0,10.52,1.59,2020-03-04
2020-03-04 15:45:54,3,632.0,10.53,1.58,2020-03-04
2020-03-05 22:09:06,1,749.0,12.48,1.34,2020-03-05
2020-03-05 22:09:06,2,765.0,12.75,1.31,2020-03-05
2020-03-06 16:04:31,1,607.0,10.12,1.64,2020-03-06
2020-03-06 16:04:31,2,622.0,10.37,1.61,2020-03-06
2020-03-06 16:04:31,3,610.0,10.17,1.64,2020-03-06
2020-03-06 06:52:14,1,642.0,10.7,1.56,2020-03-06
2020-03-06 06:52:14,2,652.0,10.87,1.53,2020-03-06
2020-03-06 06:52:14,3,629.0,10.48,1.59,2020-03-06
2020-03-07 21:45:19,1,723.0,12.05,1.39,2020-03-07
