filename,start_time,end_time,duration_min,distance_km,pace_min_per_km,elevation_gain,avg_speed_ms,max_speed_ms,avg_speed_kmh,activity_type,is_run,num_points,date
route_2019-12-31_3.58pm.gpx,2019-12-31 13:46:29,2019-12-31 14:58:03,71.6,2.64,27.15,37.6,1.07,8.11,3.8,Walk,False,3587,2019-12-31
route_2020-01-03_1.47pm.gpx,2020-01-03 12:35:44,2020-01-03 12:47:16,11.5,1.06,10.84,10.4,1.54,2.57,5.6,Run,False,690,2020-01-03
route_2020-01-09_2.24pm.gpx,2020-01-09 12:58:14,2020-01-09 13:24:19,26.1,1.67,15.64,17.7,1.33,2.79,4.8,Walk,False,1567,2020-01-09
route_2020-01-13_4.29pm.gpx,2020-01-13 15:05:00,2020-01-13 15:29:25,24.4,2.02,12.09,12.3,1.41,2.1,5.1,Walk,False,1468,2020-01-13
route_2020-01-13_5.35pm.gpx,2020-01-13 16:11:34,2020-01-13 16:35:08,23.6,1.85,12.76,14.9,1.31,1.99,4.7,Walk,False,1416,2020-01-13
route_2020-01-19_9.07pm.gpx,2020-01-19 19:33:46,2020-01-19 20:07:21,33.6,3.15,10.65,29.4,1.57,2.38,5.6,Run,False,2016,2020-01-19
route_2020-01-20_10.59am.gpx,2020-01-20 09:32:25,2020-01-20 09:59:09,26.7,1.01,26.6,8.6,1.38,2.18,5.0,Walk,False,781,2020-01-20
route_2020-01-20_4.27pm.gpx,2020-01-20 15:05:17,2020-01-20 15:27:08,21.9,1.88,11.65,10.4,1.45,2.27,5.2,Walk,False,1313,2020-01-20
route_2020-01-21_5.48pm.gpx,2020-01-21 16:05:03,2020-01-21 16:48:52,43.8,3.9,11.24,29.0,1.55,2.31,5.6,Run,False,2631,2020-01-21
route_2020-01-22_12.13pm.gpx,2020-01-22 11:01:11,2020-01-22 11:13:22,12.2,0.92,13.23,6.6,1.7,2.3,6.1,Run,False,733,2020-01-22
route_2020-01-22_8.10am.gpx,2020-01-22 06:28:41,2020-01-22 07:10:41,42.0,3.64,11.55,26.3,1.48,2.61,5.3,Walk,False,2522,2020-01-22
route_2020-01-23_4.49pm.gpx,2020-01-23 15:11:37,2020-01-23 15:49:20,37.7,3.71,10.17,24.3,1.68,2.64,6.0,Run,False,2257,2020-01-23
route_2020-01-24_6.01am.gpx,2020-01-23 23:10:57,2020-01-24 05:01:41,350.7,2.14,163.56,30.5,0.99,2.89,3.6,Walk,False,20626,2020-01-23
route_2020-01-25_10.23pm.gpx,2020-01-25 20:22:37,2020-01-25 21:23:44,61.1,5.41,11.29,40.0,1.55,2.64,5.6,Run,False,3669,2020-01-25
route_2020-01-25_4.09pm.gpx,2020-01-25 15:04:49,2020-01-25 15:09:03,4.2,1.11,3.83,3.9,6.56,8.8,23.6,Run,True,252,2020-01-25
route_2020-01-26_10.11pm.gpx,2020-01-26 20:53:39,2020-01-26 21:11:19,17.7,1.6,11.01,12.3,1.54,2.0,5.5,Run,False,1057,2020-01-26
route_2020-01-26_6.16pm.gpx,2020-01-26 16:24:04,2020-01-26 17:16:30,52.4,4.19,12.52,26.2,1.41,1.98,5.1,Walk,False,3147,2020-01-26
route_2020-01-27_1.58pm.gpx,2020-01-27 12:32:38,2020-01-27 12:58:15,25.6,1.62,15.84,13.6,1.22,2.7,4.4,Walk,False,1539,2020-01-27
route_2020-01-27_5.51pm.gpx,2020-01-27 16:10:26,2020-01-27 16:51:08,40.7,3.75,10.84,22.4,1.55,1.92,5.6,Run,False,2444,2020-01-27
route_2020-01-27_8.32am.gpx,2020-01-27 06:55:07,2020-01-27 07:32:52,37.8,3.57,10.57,25.6,1.61,2.06,5.8,Run,False,2268,2020-01-27
route_2020-01-28_6.33pm.gpx,2020-01-28 17:09:31,2020-01-28 17:33:50,24.3,2.27,10.71,18.9,1.59,2.27,5.7,Run,False,1461,2020-01-28
route_2020-01-29_1.14pm.gpx,2020-01-29 11:47:07,2020-01-29 12:14:31,27.4,5.11,5.37,40.0,4.8,21.62,17.3,Run,True,1512,2020-01-29
route_2020-01-31_5.51pm.gpx,2020-01-31 16:08:49,2020-01-31 16:51:44,42.9,3.93,10.91,35.4,1.59,5.68,5.7,Run,False,2493,2020-01-31
route_2020-02-02_10.38pm.gpx,2020-02-02 21:12:19,2020-02-02 21:38:42,26.4,2.34,11.27,13.5,1.52,2.08,5.5,Run,False,1585,2020-02-02
