date,steps
2016-10-20,57
2016-10-21,2997
2016-10-22,3526
2016-10-23,1808
2016-10-24,2051
2016-10-25,683
2016-10-26,2091
2016-10-27,3665
2016-10-28,2631
2016-10-29,13018
2016-10-30,1562
2016-10-31,4963
2016-11-01,1935
2016-11-02,2197
2016-11-03,1918
2016-11-04,2234
2016-11-05,1959
2016-11-06,2086
2016-11-07,1211
2016-11-08,2096
2016-11-09,1083
2016-11-10,1740
2016-11-11,1919
2016-11-12,1326
2016-11-13,1977
2016-11-14,3279
2016-11-15,871
2016-11-16,1473
2016-11-17,1765
2016-11-18,2222
2016-11-19,5005
2016-11-20,2293
2016-11-21,3876
2016-11-22,2799
2016-11-23,706
2016-11-24,1798
2016-11-25,4262
2016-11-26,3982
2016-11-27,2751
2016-11-28,4421
2016-11-29,892
2016-11-30,6567
2016-12-01,2092
2016-12-02,1973
2016-12-03,9185
2016-12-04,1604
2016-12-05,6792
2016-12-06,1314
2016-12-07,1048
2016-12-08,1447
2016-12-09,3817
2016-12-10,5523
2016-12-11,1611
2016-12-12,1846
2016-12-13,1287
2016-12-14,8934
2016-12-15,1989
2016-12-16,1989
2016-12-17,1315
2016-12-18,1629
2016-12-19,2045
2016-12-20,7604
2016-12-21,1228
2016-12-22,4835
2016-12-23,3176
2016-12-24,4093
2016-12-25,1955
2016-12-26,7514
2016-12-27,1697
2016-12-28,916
2016-12-29,636
2016-12-30,2272
2016-12-31,5306
2017-01-01,8037
2017-01-02,358
2017-01-03,766
2017-01-04,708
2017-01-05,1016
2017-01-06,866
2017-01-07,1943
2017-01-08,3799
2017-01-09,1783
2017-01-10,1859
2017-01-11,2043
2017-01-12,765
2017-01-13,1602
2017-01-14,2734
2017-01-15,2248
2017-01-16,995
2017-01-17,536
2017-01-18,833
2017-01-19,1065
2017-01-20,3355
2017-01-21,2409
2017-01-22,2172
2017-01-23,3069
2017-01-24,1312
2017-01-25,5150
2017-01-26,1618
2017-01-27,3582
2017-01-28,1837
2017-01-29,1396
2017-01-30,1564
2017-01-31,1863
2017-02-01,417
2017-02-02,2457
2017-02-03,1746
2017-02-04,1327
2017-02-05,2549
2017-02-06,2266
2017-02-07,1578
2017-02-08,646
2017-02-09,1581
2017-02-10,1926
2017-02-11,2564
2017-02-12,5641
2017-02-13,1877
2017-02-14,4120
2017-02-15,621
2017-02-16,2042
2017-02-17,1845
2017-02-18,1906
2017-02-19,10790
2017-02-20,542
2017-02-21,1672
2017-02-22,1920
2017-02-23,12549
2017-02-24,2136
2017-02-25,6106
2017-02-26,4836
2017-02-27,915
2017-02-28,1580
2017-03-01,1461
2017-03-02,1670
2017-03-03,917
2017-03-04,2566
2017-03-05,7079
2017-03-06,1462
2017-03-07,409
2017-03-08,1428
2017-03-09,6695
2017-03-10,1275
2017-03-11,7714
2017-03-12,2425
2017-03-13,1658
2017-03-14,502
2017-03-15,1196
2017-03-16,7496
2017-03-17,349
2017-03-18,11837
2017-03-19,1034
