date,resting_hr,min_hr,max_hr,measurements
2019-09-17,61.4,51.0,123.0,417
2019-09-18,52.8,50.0,142.0,653
2019-09-19,53.1,50.0,120.0,714
2019-09-20,54.9,45.0,118.0,709
2019-09-21,54.0,49.0,140.0,691
2019-09-22,52.0,42.0,129.0,711
2019-09-23,52.4,50.0,126.0,602
2019-09-24,51.0,38.0,134.0,720
2019-09-25,51.3,47.0,133.0,711
2019-09-26,51.4,48.0,130.0,715
2019-09-27,54.1,50.0,130.0,678
2019-09-28,58.4,43.0,122.0,661
2019-09-29,51.2,48.0,131.0,670
2019-09-30,50.0,47.0,112.0,679
2019-10-01,51.3,47.0,115.0,714
2019-10-02,52.0,46.0,123.0,708
2019-10-03,52.1,48.0,134.0,704
2019-10-04,52.8,49.0,111.0,694
2019-10-05,51.6,50.0,132.0,720
2019-10-06,50.2,45.0,123.0,691
2019-10-07,49.0,45.0,120.0,604
2019-10-08,50.1,41.0,126.0,662
2019-10-09,52.2,40.0,143.0,717
2019-10-10,50.0,40.0,134.0,667
2019-10-11,57.6,44.0,132.0,521
2019-10-12,55.2,50.0,140.0,717
2019-10-13,54.2,41.0,134.0,708
2019-10-14,51.3,46.0,105.0,645
2019-10-15,51.9,43.0,119.0,716
2019-10-16,48.2,31.0,120.0,714
2019-10-17,47.7,41.0,132.0,704
2019-10-18,51.3,47.0,122.0,689
2019-10-19,53.9,50.0,120.0,712
2019-10-20,48.4,36.0,116.0,709
2019-10-21,50.8,49.0,111.0,677
2019-10-22,48.5,47.0,131.0,688
2019-10-23,51.0,45.0,114.0,712
2019-10-24,53.1,49.0,117.0,719
2019-10-25,51.9,47.0,120.0,697
2019-10-26,50.2,40.0,122.0,715
2019-10-27,50.3,47.0,138.0,672
2019-10-28,47.0,33.0,119.0,715
2019-10-29,48.2,43.0,125.0,710
2019-11-01,54.9,49.0,119.0,709
2019-11-02,54.5,51.0,138.0,709
2019-11-03,51.3,50.0,127.0,634
2019-11-04,50.4,43.0,124.0,711
2019-11-05,49.0,41.0,132.0,699
2019-11-06,50.8,39.0,123.0,707
2019-11-07,53.2,49.0,123.0,709
2019-11-08,56.0,52.0,111.0,712
2019-11-09,53.8,53.0,117.0,413
2019-11-10,53.2,51.0,164.0,710
2019-11-11,52.1,43.0,124.0,712
2019-11-12,50.1,44.0,134.0,702
